date,return,var99_sv_mean,var99_sv_lo,var99_sv_hi,var99_garch
2024-02-26,-0.3793939244668484,-1.879577362409152,-2.9930035830897643,-1.1050204708418443,-3.089398285739082
2024-02-27,0.1704895538720964,-1.7859317230883571,-2.909128548286786,-0.997988148441967,-2.901161991916598
2024-02-28,-0.1659531321112244,-1.739112199604406,-2.959645805571791,-0.9701496676790395,-2.6687629656697647
2024-02-29,0.5215470455799964,-1.68374313553818,-2.8769737240352242,-0.9382093333972324,-2.48112340362044
2024-03-01,0.7975936433387976,-1.696186713010161,-2.8432954293813535,-0.9473292324363926,-2.358246316949177
2024-03-04,-0.1193974574963011,-1.7111816334248389,-2.804510343764377,-0.9348812717231499,-2.366542168950247
2024-03-05,-1.0245406275917994,-1.7147360265268206,-2.784955733777964,-0.9863626812643457,-2.205618906141966
2024-03-06,0.5127932853001643,-1.7452059324225384,-2.8469412454190604,-0.9785865554531673,-2.506259364172065
2024-03-07,1.0251402284983626,-1.715643782825296,-2.7509836325881163,-0.9894102001379668,-2.3774231931235157
2024-03-08,-0.6549922992050338,-1.7206647484348334,-2.8446827886403887,-0.9919219299085835,-2.511367948044264
2024-03-11,-0.11228682680281,-1.7025823666096394,-2.8260191865154463,-0.9247283529891202,-2.512429448578948
2024-03-12,1.1139512586668012,-1.6679560603081731,-2.812150821934301,-0.9403366674456465,-2.333780155120764
2024-03-13,-0.1926384002121972,-1.6583595947156666,-2.771882926097884,-0.9398268403224862,-2.5359123179101313
2024-03-14,-0.2875221051495188,-1.587316150081448,-2.6335905517088456,-0.8795817312522157,-2.368594866638498
2024-03-15,-0.6504022859737666,-1.5477442001085882,-2.662096233542764,-0.8786962405549552,-2.244864325157794
2024-03-18,0.6298184238480455,-1.5433928651787976,-2.6182536804354286,-0.831690383161262,-2.291882474426816
2024-03-19,0.563325304434312,-1.5170937756713165,-2.572239743718497,-0.8521564784732821,-2.2344934423210825
2024-03-20,0.8864765516360184,-1.5228348162012357,-2.4461678323064793,-0.88228952331892,-2.159917331858356
2024-03-21,0.3231309094528888,-1.5085976190055441,-2.4428234929782553,-0.8572064672863813,-2.254897825360423
2024-03-22,-0.1403171834326712,-1.455942728121306,-2.4923112000637295,-0.8311376165998184,-2.110927446801931
2024-03-25,-0.3059640382031929,-1.4410154054865099,-2.3754246256558775,-0.786121044469798,-1.9841441398447952
2024-03-26,-0.2803721982805726,-1.4509018005274756,-2.4816696716006015,-0.8100017932787928,-1.9190672346420428
2024-03-27,0.8593595582706042,-1.485714153993042,-2.5781180482810218,-0.8351171228146655,-1.8548108431702088
2024-03-28,0.1115862700761605,-1.5108224340394911,-2.52851598064415,-0.8773580814962874,-1.999583468027311
2024-04-01,-0.2015614526957724,-1.532229275698036,-2.621844572581174,-0.8078932042539758,-1.8630565435686228
2024-04-02,-0.7265388203672426,-1.5476197059624675,-2.6026997319571277,-0.8782633347388218,-1.7827615540222337
2024-04-03,0.1090527523337897,-1.6374734160084332,-2.7141698373287193,-0.9237589458598722,-1.9774245226982772
2024-04-04,-1.241103561926225,-1.7016179372431945,-2.764755121528266,-0.9464174193971189,-1.8434225638148256
2024-04-05,1.1038050135699558,-1.8117739632480716,-2.955210615371742,-1.0352042489064273,-2.440487317413795
2024-04-08,-0.0374701190041576,-1.8691647160501947,-3.151738722607065,-1.0457339425084315,-2.611139785665681
2024-04-09,0.144444947363452,-1.8572313489898462,-3.0239842480158434,-1.0831347083853646,-2.41279109534336
2024-04-10,-0.9501981832212592,-1.8734222262191589,-3.1812864880139613,-1.0554801945869092,-2.231012333571623
2024-04-11,0.7417221983342437,-1.979825604072838,-3.2699379203592884,-1.1100765062028375,-2.470564651615351
2024-04-12,-1.4657587802248535,-2.0141718277301055,-3.2458634986033315,-1.1497202943110905,-2.433214351117684
2024-04-15,-1.2094195787459194,-2.0899328615921915,-3.359345035420163,-1.2345519714931887,-3.026633028845763
2024-04-16,-0.2058624527503996,-2.0750020764436066,-3.3857694153921667,-1.2332629992587403,-3.256056523114983
2024-04-17,-0.5797375076004185,-1.9959864475443494,-3.2759369921999935,-1.1377204168187056,-3.0104311580757064
2024-04-18,-0.2210601700485304,-1.9582671226677049,-3.2898117708995365,-1.1339796404695537,-2.899604314514176
2024-04-19,-0.8797129654056974,-1.9650250134724314,-3.259997424997586,-1.1159292983341376,-2.6960956454804066
2024-04-22,0.869335115683908,-1.9958144744661788,-3.270937443542331,-1.1564273700458099,-2.7859701160646235
2024-04-23,1.189356656772209,-2.0120989205982314,-3.4245857284909413,-1.1255291369892118,-2.7566868692672974
2024-04-24,0.02129873779329,-2.0272912114614803,-3.31805119150891,-1.148109264910709,-2.913022934576201
2024-04-25,-0.4586934270119409,-1.9379585641951989,-3.3160029341912836,-1.1153077720376392,-2.678905407971406
2024-04-26,1.0157381332325344,-1.944909218509507,-3.2745082006053985,-1.1515604531319696,-2.569068497716593
2024-04-29,0.3173408076639394,-2.005392052081727,-3.3108874020784125,-1.1981909440772682,-2.657455782565521
2024-04-30,-1.5855551118928124,-1.9972784999435207,-3.328765075169862,-1.1609173782541184,-2.4661166644489265
2024-05-01,-0.3441353485631687,-2.0217236670853294,-3.2147140250283135,-1.237719687300695,-3.155056432271254
2024-05-02,0.9087024725084856,-1.9798767399439834,-3.253548760264209,-1.1789060355090626,-2.9496964051061876
2024-05-03,1.2478557659508005,-1.9542378598009755,-3.2605955368673936,-1.1537700782635605,-2.912386275948429
2024-05-06,1.027317369124784,-1.9076520811974915,-3.167540829751153,-1.1500093079782967,-3.0726215986290457
